id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id
1,<intro_1> Bm Em F#m Bm <bridge_1> Bm Em A D <bridge_2> Bm Em A D <outro_1> Bm Em F#m Bm,,'pop',1980.0,,artist_1,pop,synth000001,synthartist000001
2,<intro_1> Cm Ab Eb Bb <verse_1> Cm7 Fm7 Bb7 Ebmaj7 <verse_2> Cm Bb Ab G <bridge_1> Cm Ab Eb Bb <chorus_1> Cm Fm Gm Cm <outro_1> Cm7 Fm7 Bb7 Ebmaj7,,,,,artist_2,,synth000002,synthartist000002
3,<intro_1> Ab Eb Fm Cm Db Ab Db Eb <chorus_1> Ab Eb Fm Db <bridge_1> Fm Db Ab Eb <verse_1> Bbm Eb Ab <bridge_2> Bbm Eb Ab <outro_1> Bbm7 Eb7 Abmaj7,,,,,artist_3,,synth000003,synthartist000003
4,<intro_1> Fm Bbm Cm Fm <chorus_1> Fm7 Bbm7 Eb7 Abmaj7 <bridge_1> Fm Bbm Eb Ab <outro_1> Fm Bbm Cm Fm,,'rock',,,artist_4,rock,,
5,<intro_1> Gm Eb Bb F <bridge_1> Bb Eb F Eb <verse_1> Bb F Gm Eb <bridge_2> Cm7 F7 Bbmaj7 <outro_1> Bb F Gm Eb,,,2000.0,,artist_5,,,
6,<intro_1> Ab Fm Db Eb <verse_1> Fm Db Ab Eb <verse_2> Fm Db Ab Eb <verse_3> Fm Db Ab Eb <verse_4> Fm Db Ab Eb <outro_1> Ab Eb Fm Db,,'country',1990.0,,artist_6,country,,
7,<intro_1> Bbm Gb Db Ab <verse_1> Bbm Ebm Ab Db <bridge_1> Bbm Ab Gb F <verse_2> Bbm Ebm Fm Bbm <outro_1> Bbm Ebm Fm Bbm,,,,,artist_7,,synth000007,synthartist000007
8,<intro_1> Fm Db Ab Eb <bridge_1> Ab Fm Db Eb <outro_1> Abmaj7 Dbmaj7 Eb7 Abmaj7,,'rock',2000.0,,artist_8,rock,synth000008,synthartist000008
9,<intro_1> Em C G D <chorus_1> Em7 Am7 D7 Gmaj7 <bridge_1> Em7 Am7 D7 Gmaj7 <outro_1> Em Am Bm Em,,'country',1970.0,,artist_9,country,,
10,<intro_1> Gm C F <verse_1> F C Dm Bb <chorus_1> Dm Bb F C <outro_1> F Bb C Bb,,,2000.0,,artist_10,,,
11,<intro_1> B G#m E F# <chorus_1> B F# G#m E <outro_1> Bmaj7 Emaj7 F#7 Bmaj7,,,2020.0,,artist_11,,,
12,<intro_1> Am G F E <verse_1> Am F C G <chorus_1> Am G F E <outro_1> Am7 Dm7 G7 Cmaj7,,'folk',,,artist_12,folk,synth000012,synthartist000012
13,<intro_1> D A Bm F#m G D G A <bridge_1> D G A G <bridge_2> Em7 A7 Dmaj7 <chorus_1> Bm G D A <outro_1> Em7 A7 Dmaj7,,'hip hop',2000.0,,artist_13,hip hop,synth000013,synthartist000013
14,<intro_1> Dm C Bb A <solo_1> Dm Bb F C <bridge_1> Dm Bb F C <verse_1> Dm Bb F C <outro_1> Dm Gm C F,,,2020.0,,artist_14,,synth000014,synthartist000014
15,<intro_1> C#m A E B <verse_1> E A B A <bridge_1> F#m B E <solo_1> F#m7 B7 Emaj7 <bridge_2> Emaj7 Amaj7 B7 Emaj7 <outro_1> E B C#m G#m A E A B,,'metal',2000.0,,artist_15,metal,synth000015,synthartist000015
16,<intro_1> Dm Gm Am Dm <verse_1> Dm C Bb A <chorus_1> Dm Bb F C <chorus_2> Dm Bb F C <solo_1> Dm Bb F C <outro_1> Dm Gm Am Dm,,,,,artist_16,,synth000016,synthartist000016
17,<intro_1> A E F#m C#m D A D E <bridge_1> A F#m D E <verse_1> A E F#m C#m D A D E <chorus_1> A D E D <outro_1> F#m D A E,,'hip hop',2020.0,,artist_17,hip hop,synth000017,synthartist000017
18,<intro_1> Fm Bb Eb <bridge_1> Eb Bb Cm Gm Ab Eb Ab Bb <outro_1> Eb Cm Ab Bb,,'metal',,,artist_18,metal,,
19,<intro_1> Fm7 Bbm7 Eb7 Abmaj7 <verse_1> Fm Bbm Eb Ab <outro_1> Fm Db Ab Eb,,'metal',,,artist_19,metal,synth000019,synthartist000019
20,<intro_1> Em Am D G <verse_1> Em7 Am7 D7 Gmaj7 <chorus_1> Em D C B <outro_1> Em Am Bm Em,,'rock',,,artist_20,rock,synth000020,synthartist000020
21,<intro_1> F#maj7 Bmaj7 C#7 F#maj7 <chorus_1> F# B C# B <solo_1> G#m7 C#7 F#maj7 <verse_1> F# B C# B <outro_1> F# C# D#m A#m B F# B C#,,'metal',,,artist_21,metal,,
22,<intro_1> Ebm Abm Bbm Ebm <chorus_1> Ebm Abm Db Gb <verse_1> Ebm Cb Gb Db <outro_1> Ebm7 Abm7 Db7 Gbmaj7,,,2000.0,,artist_22,,synth000022,synthartist000022
23,<intro_1> C F G F <bridge_1> C F G F <solo_1> C Am F G <solo_2> Cmaj7 Fmaj7 G7 Cmaj7 <bridge_2> Cmaj7 Fmaj7 G7 Cmaj7 <outro_1> C G Am F,,,2010.0,,artist_23,,,
24,<intro_1> Em Am D G <chorus_1> Em Am D G <solo_1> Em D C B <bridge_1> Em D C B <chorus_2> Em Am D G <outro_1> Em7 Am7 D7 Gmaj7,,'indie',,,artist_24,indie,,
25,<intro_1> Bbmaj7 Ebmaj7 F7 Bbmaj7 <verse_1> Bb F Gm Dm Eb Bb Eb F <verse_2> Bb F Gm Dm Eb Bb Eb F <bridge_1> Bb Eb F Eb <bridge_2> Bb Eb F Eb <outro_1> Bbmaj7 Ebmaj7 F7 Bbmaj7,,'hip hop',,,artist_25,hip hop,synth000025,synthartist000025
26,<intro_1> Bbm Ebm Fm Bbm <bridge_1> Bbm7 Ebm7 Ab7 Dbmaj7 <outro_1> Bbm Ebm Ab Db,,'country',1980.0,,artist_26,country,synth000026,synthartist000026
27,<intro_1> F#m7 Bm7 E7 Amaj7 <solo_1> F#m D A E <outro_1> F#m D A E,,,1970.0,,artist_27,,,
28,<intro_1> Abm Gb Fb Eb <verse_1> Abm Fb Cb Gb <chorus_1> Abm7 Dbm7 Gb7 Cbmaj7 <bridge_1> Abm Dbm Ebm Abm <bridge_2> Abm Dbm Ebm Abm <outro_1> Abm Dbm Ebm Abm,,'country',2020.0,,artist_28,country,synth000028,synthartist000028
29,<intro_1> Bbmaj7 Ebmaj7 F7 Bbmaj7 <verse_1> Cm7 F7 Bbmaj7 <verse_2> Bb Eb F Eb <verse_3> Bb Eb F Eb <outro_1> Gm Eb Bb F,,'indie',2020.0,,artist_29,indie,synth000029,synthartist000029
30,<intro_1> Bm Em A D <chorus_1> Bm Em A D <chorus_2> Bm Em A D <chorus_3> Bm G D A <outro_1> Bm G D A,,,1970.0,,artist_30,,,
31,<intro_1> Bm G D A <bridge_1> Bm A G F# <chorus_1> Bm Em A D <bridge_2> Bm Em A D <verse_1> Bm Em F#m Bm <outro_1> Bm A G F#,,'indie',,,artist_31,indie,,
32,<intro_1> Am G F E <verse_1> Am Dm G C <bridge_1> Am Dm Em Am <bridge_2> Am Dm G C <bridge_3> Am Dm Em Am <outro_1> Am7 Dm7 G7 Cmaj7,,,2020.0,,artist_32,,synth000032,synthartist000032
33,<intro_1> F#m Bm E A <verse_1> F#m Bm C#m F#m <outro_1> F#m Bm E A,,'pop',,,artist_33,pop,synth000033,synthartist000033
34,<intro_1> Ebm7 Abm7 Db7 Gbmaj7 <verse_1> Ebm Abm Bbm Ebm <bridge_1> Ebm Abm Bbm Ebm <outro_1> Ebm7 Abm7 Db7 Gbmaj7,,,1990.0,,artist_34,,synth000034,synthartist000034
35,<intro_1> Cm Fm Bb Eb <chorus_1> Cm Fm Gm Cm <chorus_2> Cm7 Fm7 Bb7 Ebmaj7 <verse_1> Cm Fm Bb Eb <bridge_1> Cm7 Fm7 Bb7 Ebmaj7 <outro_1> Cm Bb Ab G,,'hip hop',2010.0,,artist_35,hip hop,synth000035,synthartist000035
36,<intro_1> Gm Cm F Bb <chorus_1> Gm Cm Dm Gm <solo_1> Gm F Eb D <chorus_2> Gm F Eb D <chorus_3> Gm7 Cm7 F7 Bbmaj7 <outro_1> Gm Cm F Bb,,'hip hop',,,artist_36,hip hop,synth000036,synthartist000036
37,<intro_1> Bm G D A <bridge_1> Dmaj7 Gmaj7 A7 Dmaj7 <verse_1> Bm G D A <verse_2> Bm G D A <verse_3> D Bm G A <outro_1> Bm G D A,,,2000.0,,artist_37,,synth000037,synthartist000037
38,<intro_1> Dm C Bb A <verse_1> Dm Gm Am Dm <bridge_1> Dm Gm Am Dm <outro_1> Dm Bb F C,,'folk',1970.0,,artist_38,folk,synth000038,synthartist000038
39,<intro_1> Gm Cm F Bb <bridge_1> Gm Eb Bb F <verse_1> Gm Eb Bb F <verse_2> Gm Eb Bb F <solo_1> Gm Cm F Bb <outro_1> Gm7 Cm7 F7 Bbmaj7,,'electronic',2010.0,,artist_39,electronic,synth000039,synthartist000039
40,<intro_1> B F# G#m E <bridge_1> Bmaj7 Emaj7 F#7 Bmaj7 <chorus_1> B E F# E <verse_1> C#m7 F#7 Bmaj7 <outro_1> C#m7 F#7 Bmaj7,,,1990.0,,artist_40,,,
41,<intro_1> Fm Db Ab Eb <verse_1> Ab Eb Fm Cm Db Ab Db Eb <outro_1> Bbm7 Eb7 Abmaj7,,,,,artist_41,,,
